"","STATION","Sampling.date","Day","Month","Year","species","abundance"
"1",2,1997-05-14,14,5,1997,"Acartia clausi",357.70346763069
"2",3,1997-05-14,14,5,1997,"Acartia clausi",1973.60350741691
"3",4,1997-05-15,15,5,1997,"Acartia clausi",708.557190687534
"4",2,1998-05-01,1,5,1998,"Acartia clausi",1.29752173348904
"5",3,1998-05-01,1,5,1998,"Acartia clausi",2.59504346697807
"6",4,1998-05-01,1,5,1998,"Acartia clausi",0
"7",2,1999-05-07,7,5,1999,"Acartia clausi",13.2082029892249
"8",3,1999-05-07,7,5,1999,"Acartia clausi",23.1803430690774
"9",4,1999-05-07,7,5,1999,"Acartia clausi",1507.51947816633
"10",2,2000-05-25,25,5,2000,"Acartia clausi",1.85185185185185
"11",3,2000-05-25,25,5,2000,"Acartia clausi",8.28500414250207
"12",4,2000-05-25,25,5,2000,"Acartia clausi",14209.3046725199
"13",2,2001-05-28,28,5,2001,"Acartia clausi",12.652876947896
"14",3,2001-05-28,28,5,2001,"Acartia clausi",59.0064099887832
"15",4,2001-05-28,28,5,2001,"Acartia clausi",201.652666750689
"16",2,2002-04-22,22,4,2002,"Acartia clausi",5.1928433177548
"17",3,2002-04-22,22,4,2002,"Acartia clausi",0
"18",4,2002-04-22,22,4,2002,"Acartia clausi",1694.39602809909
"19",4,2014-05-21,21,5,2014,"Acartia clausi",585.858585858586
"20",2,2015-05-27,27,5,2015,"Acartia clausi",289.91452991453
"21",3,2015-05-27,27,5,2015,"Acartia clausi",403.944773175542
"22",4,2015-05-27,27,5,2015,"Acartia clausi",891.324200913242
"23",2,2016-04-29,29,4,2016,"Acartia clausi",5.272030651341
"24",3,2016-04-29,29,4,2016,"Acartia clausi",55.2601681436037
"25",4,2016-04-29,29,4,2016,"Acartia clausi",93.0817610062893
"26",2,1997-05-14,14,5,1997,"Paracartia latisetosa",0
"27",3,1997-05-14,14,5,1997,"Paracartia latisetosa",0
"28",4,1997-05-15,15,5,1997,"Paracartia latisetosa",0
"29",2,1998-05-01,1,5,1998,"Paracartia latisetosa",37
"30",3,1998-05-01,1,5,1998,"Paracartia latisetosa",37.5
"31",4,1998-05-01,1,5,1998,"Paracartia latisetosa",38
"32",2,1999-05-07,7,5,1999,"Paracartia latisetosa",0
"33",3,1999-05-07,7,5,1999,"Paracartia latisetosa",0
"34",4,1999-05-07,7,5,1999,"Paracartia latisetosa",0
"35",2,2000-05-25,25,5,2000,"Paracartia latisetosa",0
"36",3,2000-05-25,25,5,2000,"Paracartia latisetosa",0
"37",4,2000-05-25,25,5,2000,"Paracartia latisetosa",0
"38",2,2001-05-28,28,5,2001,"Paracartia latisetosa",0
"39",3,2001-05-28,28,5,2001,"Paracartia latisetosa",0
"40",4,2001-05-28,28,5,2001,"Paracartia latisetosa",0
"41",2,2002-04-22,22,4,2002,"Paracartia latisetosa",0
"42",3,2002-04-22,22,4,2002,"Paracartia latisetosa",0
"43",4,2002-04-22,22,4,2002,"Paracartia latisetosa",0
"44",4,2014-05-21,21,5,2014,"Paracartia latisetosa",0
"45",2,2015-05-27,27,5,2015,"Paracartia latisetosa",0
"46",3,2015-05-27,27,5,2015,"Paracartia latisetosa",0
"47",4,2015-05-27,27,5,2015,"Paracartia latisetosa",0
"48",2,2016-04-29,29,4,2016,"Paracartia latisetosa",0
"49",3,2016-04-29,29,4,2016,"Paracartia latisetosa",0.16359918200409
"50",4,2016-04-29,29,4,2016,"Paracartia latisetosa",0
"51",2,1997-05-14,14,5,1997,"Acartia margalefi",216.905294201589
"52",3,1997-05-14,14,5,1997,"Acartia margalefi",639.694691170123
"53",4,1997-05-15,15,5,1997,"Acartia margalefi",31.1453710192323
"54",2,1998-05-01,1,5,1998,"Acartia margalefi",0.648760866744518
"55",3,1998-05-01,1,5,1998,"Acartia margalefi",0.648760866744518
"56",4,1998-05-01,1,5,1998,"Acartia margalefi",0
"57",2,1999-05-07,7,5,1999,"Acartia margalefi",11.1226972540841
"58",3,1999-05-07,7,5,1999,"Acartia margalefi",27.8164116828929
"59",4,1999-05-07,7,5,1999,"Acartia margalefi",30.9234764752069
"60",2,2000-05-25,25,5,2000,"Acartia margalefi",0
"61",3,2000-05-25,25,5,2000,"Acartia margalefi",0.920556015833563
"62",4,2000-05-25,25,5,2000,"Acartia margalefi",0
"63",2,2001-05-28,28,5,2001,"Acartia margalefi",0
"64",3,2001-05-28,28,5,2001,"Acartia margalefi",0
"65",4,2001-05-28,28,5,2001,"Acartia margalefi",0
"66",2,2002-04-22,22,4,2002,"Acartia margalefi",0
"67",3,2002-04-22,22,4,2002,"Acartia margalefi",0
"68",4,2002-04-22,22,4,2002,"Acartia margalefi",0
"69",4,2014-05-21,21,5,2014,"Acartia margalefi",226.262626262626
"70",2,2015-05-27,27,5,2015,"Acartia margalefi",125.811965811966
"71",3,2015-05-27,27,5,2015,"Acartia margalefi",883.629191321499
"72",4,2015-05-27,27,5,2015,"Acartia margalefi",54.7945205479452
"73",2,2016-04-29,29,4,2016,"Acartia margalefi",5.76245210727969
"74",3,2016-04-29,29,4,2016,"Acartia margalefi",94.5239718245853
"75",4,2016-04-29,29,4,2016,"Acartia margalefi",1.67714884696017
"76",2,1997-05-14,14,5,1997,"Acartia tonsa",85.6205108690482
"77",3,1997-05-14,14,5,1997,"Acartia tonsa",159.923672792531
"78",4,1997-05-15,15,5,1997,"Acartia tonsa",1.94658568870202
"79",2,1998-05-01,1,5,1998,"Acartia tonsa",22.7066303360581
"80",3,1998-05-01,1,5,1998,"Acartia tonsa",51.0923091991726
"81",4,1998-05-01,1,5,1998,"Acartia tonsa",3962.56066924278
"82",2,1999-05-07,7,5,1999,"Acartia tonsa",78.5540493569691
"83",3,1999-05-07,7,5,1999,"Acartia tonsa",617.756142790913
"84",4,1999-05-07,7,5,1999,"Acartia tonsa",56.0488011113124
"85",2,2000-05-25,25,5,2000,"Acartia tonsa",91.6666666666667
"86",3,2000-05-25,25,5,2000,"Acartia tonsa",96.6583816625241
"87",4,2000-05-25,25,5,2000,"Acartia tonsa",72.661217075386
"88",2,2001-05-28,28,5,2001,"Acartia tonsa",193.243938840594
"89",3,2001-05-28,28,5,2001,"Acartia tonsa",528.83103291834
"90",4,2001-05-28,28,5,2001,"Acartia tonsa",38.4833333493681
"91",2,2002-04-22,22,4,2002,"Acartia tonsa",2.12434499362696
"92",3,2002-04-22,22,4,2002,"Acartia tonsa",0.629287017808823
"93",4,2002-04-22,22,4,2002,"Acartia tonsa",3
"94",4,2014-05-21,21,5,2014,"Acartia tonsa",0.404040404040404
"95",2,2015-05-27,27,5,2015,"Acartia tonsa",393.846153846154
"96",3,2015-05-27,27,5,2015,"Acartia tonsa",858.382642998028
"97",4,2015-05-27,27,5,2015,"Acartia tonsa",0
"98",2,2016-04-29,29,4,2016,"Acartia tonsa",0.85823754789272
"99",3,2016-04-29,29,4,2016,"Acartia tonsa",15.9963644626221
"100",4,2016-04-29,29,4,2016,"Acartia tonsa",1.67714884696017
"101",2,1997-05-14,14,5,1997,"Acartia sp p ",0
"102",3,1997-05-14,14,5,1997,"Acartia sp p ",0
"103",4,1997-05-15,15,5,1997,"Acartia sp p ",0
"104",2,1998-05-01,1,5,1998,"Acartia sp p ",0
"105",3,1998-05-01,1,5,1998,"Acartia sp p ",0
"106",4,1998-05-01,1,5,1998,"Acartia sp p ",0
"107",2,1999-05-07,7,5,1999,"Acartia sp p ",0
"108",3,1999-05-07,7,5,1999,"Acartia sp p ",0
"109",4,1999-05-07,7,5,1999,"Acartia sp p ",0
"110",2,2000-05-25,25,5,2000,"Acartia sp p ",0
"111",3,2000-05-25,25,5,2000,"Acartia sp p ",0
"112",4,2000-05-25,25,5,2000,"Acartia sp p ",0
"113",2,2001-05-28,28,5,2001,"Acartia sp p ",0
"114",3,2001-05-28,28,5,2001,"Acartia sp p ",0
"115",4,2001-05-28,28,5,2001,"Acartia sp p ",0
"116",2,2002-04-22,22,4,2002,"Acartia sp p ",0
"117",3,2002-04-22,22,4,2002,"Acartia sp p ",0
"118",4,2002-04-22,22,4,2002,"Acartia sp p ",0
"119",4,2014-05-21,21,5,2014,"Acartia sp p ",573.737373737374
"120",2,2015-05-27,27,5,2015,"Acartia sp p ",694.700854700855
"121",3,2015-05-27,27,5,2015,"Acartia sp p ",1123.47140039448
"122",4,2015-05-27,27,5,2015,"Acartia sp p ",423.744292237443
"123",2,2016-04-29,29,4,2016,"Acartia sp p ",4.65900383141762
"124",3,2016-04-29,29,4,2016,"Acartia sp p ",61.8041354237673
"125",4,2016-04-29,29,4,2016,"Acartia sp p ",25.1572327044025
"126",2,1997-05-14,14,5,1997,"Calanoida copepoditi ind ",0
"127",3,1997-05-14,14,5,1997,"Calanoida copepoditi ind ",0
"128",4,1997-05-15,15,5,1997,"Calanoida copepoditi ind ",0
"129",2,1998-05-01,1,5,1998,"Calanoida copepoditi ind ",0
"130",3,1998-05-01,1,5,1998,"Calanoida copepoditi ind ",0
"131",4,1998-05-01,1,5,1998,"Calanoida copepoditi ind ",0
"132",2,1999-05-07,7,5,1999,"Calanoida copepoditi ind ",0
"133",3,1999-05-07,7,5,1999,"Calanoida copepoditi ind ",0
"134",4,1999-05-07,7,5,1999,"Calanoida copepoditi ind ",0
"135",2,2000-05-25,25,5,2000,"Calanoida copepoditi ind ",0
"136",3,2000-05-25,25,5,2000,"Calanoida copepoditi ind ",0
"137",4,2000-05-25,25,5,2000,"Calanoida copepoditi ind ",0
"138",2,2001-05-28,28,5,2001,"Calanoida copepoditi ind ",0
"139",3,2001-05-28,28,5,2001,"Calanoida copepoditi ind ",0
"140",4,2001-05-28,28,5,2001,"Calanoida copepoditi ind ",0
"141",2,2002-04-22,22,4,2002,"Calanoida copepoditi ind ",0
"142",3,2002-04-22,22,4,2002,"Calanoida copepoditi ind ",0
"143",4,2002-04-22,22,4,2002,"Calanoida copepoditi ind ",0
"144",4,2014-05-21,21,5,2014,"Calanoida copepoditi ind ",0
"145",2,2015-05-27,27,5,2015,"Calanoida copepoditi ind ",0
"146",3,2015-05-27,27,5,2015,"Calanoida copepoditi ind ",0
"147",4,2015-05-27,27,5,2015,"Calanoida copepoditi ind ",0
"148",2,2016-04-29,29,4,2016,"Calanoida copepoditi ind ",0
"149",3,2016-04-29,29,4,2016,"Calanoida copepoditi ind ",0.05453306066803
"150",4,2016-04-29,29,4,2016,"Calanoida copepoditi ind ",1.67714884696017
"151",2,1997-05-14,14,5,1997,"Calanipeda aquaedulcis",0
"152",3,1997-05-14,14,5,1997,"Calanipeda aquaedulcis",0
"153",4,1997-05-15,15,5,1997,"Calanipeda aquaedulcis",0
"154",2,1998-05-01,1,5,1998,"Calanipeda aquaedulcis",1.08137334414707
"155",3,1998-05-01,1,5,1998,"Calanipeda aquaedulcis",22.5924879977408
"156",4,1998-05-01,1,5,1998,"Calanipeda aquaedulcis",6.35256749602964
"157",2,1999-05-07,7,5,1999,"Calanipeda aquaedulcis",0
"158",3,1999-05-07,7,5,1999,"Calanipeda aquaedulcis",1.15901715345387
"159",4,1999-05-07,7,5,1999,"Calanipeda aquaedulcis",0
"160",2,2000-05-25,25,5,2000,"Calanipeda aquaedulcis",0
"161",3,2000-05-25,25,5,2000,"Calanipeda aquaedulcis",0
"162",4,2000-05-25,25,5,2000,"Calanipeda aquaedulcis",0
"163",2,2001-05-28,28,5,2001,"Calanipeda aquaedulcis",0
"164",3,2001-05-28,28,5,2001,"Calanipeda aquaedulcis",0
"165",4,2001-05-28,28,5,2001,"Calanipeda aquaedulcis",0
"166",2,2002-04-22,22,4,2002,"Calanipeda aquaedulcis",0
"167",3,2002-04-22,22,4,2002,"Calanipeda aquaedulcis",0
"168",4,2002-04-22,22,4,2002,"Calanipeda aquaedulcis",0
"169",4,2014-05-21,21,5,2014,"Calanipeda aquaedulcis",0
"170",2,2015-05-27,27,5,2015,"Calanipeda aquaedulcis",0
"171",3,2015-05-27,27,5,2015,"Calanipeda aquaedulcis",0
"172",4,2015-05-27,27,5,2015,"Calanipeda aquaedulcis",0
"173",2,2016-04-29,29,4,2016,"Calanipeda aquaedulcis",0
"174",3,2016-04-29,29,4,2016,"Calanipeda aquaedulcis",0
"175",4,2016-04-29,29,4,2016,"Calanipeda aquaedulcis",0
"176",2,1997-05-14,14,5,1997,"Calanus spp",0
"177",3,1997-05-14,14,5,1997,"Calanus spp",0
"178",4,1997-05-15,15,5,1997,"Calanus spp",0
"179",2,1998-05-01,1,5,1998,"Calanus spp",80.0216274668829
"180",3,1998-05-01,1,5,1998,"Calanus spp",135.554927986444
"181",4,1998-05-01,1,5,1998,"Calanus spp",10.5876124933827
"182",2,1999-05-07,7,5,1999,"Calanus spp",0
"183",3,1999-05-07,7,5,1999,"Calanus spp",0
"184",4,1999-05-07,7,5,1999,"Calanus spp",3.86543455940086
"185",2,2000-05-25,25,5,2000,"Calanus spp",0
"186",3,2000-05-25,25,5,2000,"Calanus spp",0
"187",4,2000-05-25,25,5,2000,"Calanus spp",0
"188",2,2001-05-28,28,5,2001,"Calanus spp",0
"189",3,2001-05-28,28,5,2001,"Calanus spp",0
"190",4,2001-05-28,28,5,2001,"Calanus spp",0
"191",2,2002-04-22,22,4,2002,"Calanus spp",0.472076665250437
"192",3,2002-04-22,22,4,2002,"Calanus spp",0.629287017808823
"193",4,2002-04-22,22,4,2002,"Calanus spp",4.22542650398775
"194",4,2014-05-21,21,5,2014,"Calanus spp",0
"195",2,2015-05-27,27,5,2015,"Calanus spp",0
"196",3,2015-05-27,27,5,2015,"Calanus spp",0
"197",4,2015-05-27,27,5,2015,"Calanus spp",0
"198",2,2016-04-29,29,4,2016,"Calanus spp",0
"199",3,2016-04-29,29,4,2016,"Calanus spp",0
"200",4,2016-04-29,29,4,2016,"Calanus spp",0
"201",2,1997-05-14,14,5,1997,"Calocalanus spp",0
"202",3,1997-05-14,14,5,1997,"Calocalanus spp",0
"203",4,1997-05-15,15,5,1997,"Calocalanus spp",0
"204",2,1998-05-01,1,5,1998,"Calocalanus spp",0
"205",3,1998-05-01,1,5,1998,"Calocalanus spp",0
"206",4,1998-05-01,1,5,1998,"Calocalanus spp",0
"207",2,1999-05-07,7,5,1999,"Calocalanus spp",0
"208",3,1999-05-07,7,5,1999,"Calocalanus spp",0
"209",4,1999-05-07,7,5,1999,"Calocalanus spp",0
"210",2,2000-05-25,25,5,2000,"Calocalanus spp",0
"211",3,2000-05-25,25,5,2000,"Calocalanus spp",0
"212",4,2000-05-25,25,5,2000,"Calocalanus spp",0
"213",2,2001-05-28,28,5,2001,"Calocalanus spp",0
"214",3,2001-05-28,28,5,2001,"Calocalanus spp",0
"215",4,2001-05-28,28,5,2001,"Calocalanus spp",0
"216",2,2002-04-22,22,4,2002,"Calocalanus spp",0.472076665250437
"217",3,2002-04-22,22,4,2002,"Calocalanus spp",0.472076665250437
"218",4,2002-04-22,22,4,2002,"Calocalanus spp",29.5779855279142
"219",4,2014-05-21,21,5,2014,"Calocalanus spp",0
"220",2,2015-05-27,27,5,2015,"Calocalanus spp",0
"221",3,2015-05-27,27,5,2015,"Calocalanus spp",0
"222",4,2015-05-27,27,5,2015,"Calocalanus spp",0
"223",2,2016-04-29,29,4,2016,"Calocalanus spp",0
"224",3,2016-04-29,29,4,2016,"Calocalanus spp",0
"225",4,2016-04-29,29,4,2016,"Calocalanus spp",0
"226",2,1997-05-14,14,5,1997,"Centropages kr√ yeri",0
"227",3,1997-05-14,14,5,1997,"Centropages kr√ yeri",0
"228",4,1997-05-15,15,5,1997,"Centropages kr√ yeri",1.94658568870202
"229",2,1998-05-01,1,5,1998,"Centropages kr√ yeri",0
"230",3,1998-05-01,1,5,1998,"Centropages kr√ yeri",0
"231",4,1998-05-01,1,5,1998,"Centropages kr√ yeri",2.11752249867655
"232",2,1999-05-07,7,5,1999,"Centropages kr√ yeri",0
"233",3,1999-05-07,7,5,1999,"Centropages kr√ yeri",0
"234",4,1999-05-07,7,5,1999,"Centropages kr√ yeri",0
"235",2,2000-05-25,25,5,2000,"Centropages kr√ yeri",0
"236",3,2000-05-25,25,5,2000,"Centropages kr√ yeri",0
"237",4,2000-05-25,25,5,2000,"Centropages kr√ yeri",0
"238",2,2001-05-28,28,5,2001,"Centropages kr√ yeri",0
"239",3,2001-05-28,28,5,2001,"Centropages kr√ yeri",0
"240",4,2001-05-28,28,5,2001,"Centropages kr√ yeri",0
"241",2,2002-04-22,22,4,2002,"Centropages kr√ yeri",0
"242",3,2002-04-22,22,4,2002,"Centropages kr√ yeri",0
"243",4,2002-04-22,22,4,2002,"Centropages kr√ yeri",0
"244",4,2014-05-21,21,5,2014,"Centropages kr√ yeri",0
"245",2,2015-05-27,27,5,2015,"Centropages kr√ yeri",0
"246",3,2015-05-27,27,5,2015,"Centropages kr√ yeri",0
"247",4,2015-05-27,27,5,2015,"Centropages kr√ yeri",0
"248",2,2016-04-29,29,4,2016,"Centropages kr√ yeri",0
"249",3,2016-04-29,29,4,2016,"Centropages kr√ yeri",0
"250",4,2016-04-29,29,4,2016,"Centropages kr√ yeri",0
"251",2,1997-05-14,14,5,1997,"Centropages ponticus",0
"252",3,1997-05-14,14,5,1997,"Centropages ponticus",3.63462892710297
"253",4,1997-05-15,15,5,1997,"Centropages ponticus",5.83975706610605
"254",2,1998-05-01,1,5,1998,"Centropages ponticus",0
"255",3,1998-05-01,1,5,1998,"Centropages ponticus",0
"256",4,1998-05-01,1,5,1998,"Centropages ponticus",0.585720142915715
"257",2,1999-05-07,7,5,1999,"Centropages ponticus",0.695168578380257
"258",3,1999-05-07,7,5,1999,"Centropages ponticus",2.31803430690774
"259",4,1999-05-07,7,5,1999,"Centropages ponticus",15.4617382376034
"260",2,2000-05-25,25,5,2000,"Centropages ponticus",0
"261",3,2000-05-25,25,5,2000,"Centropages ponticus",0
"262",4,2000-05-25,25,5,2000,"Centropages ponticus",0
"263",2,2001-05-28,28,5,2001,"Centropages ponticus",0
"264",3,2001-05-28,28,5,2001,"Centropages ponticus",0
"265",4,2001-05-28,28,5,2001,"Centropages ponticus",0
"266",2,2002-04-22,22,4,2002,"Centropages ponticus",0
"267",3,2002-04-22,22,4,2002,"Centropages ponticus",0
"268",4,2002-04-22,22,4,2002,"Centropages ponticus",12.6762795119632
"269",4,2014-05-21,21,5,2014,"Centropages ponticus",8.08080808080808
"270",2,2015-05-27,27,5,2015,"Centropages ponticus",0.376068376068376
"271",3,2015-05-27,27,5,2015,"Centropages ponticus",0.552268244575937
"272",4,2015-05-27,27,5,2015,"Centropages ponticus",7.30593607305936
"273",2,2016-04-29,29,4,2016,"Centropages ponticus",0
"274",3,2016-04-29,29,4,2016,"Centropages ponticus",0.10906612133606
"275",4,2016-04-29,29,4,2016,"Centropages ponticus",5.87002096436059
"276",2,1997-05-14,14,5,1997,"Centropages typicus",0
"277",3,1997-05-14,14,5,1997,"Centropages typicus",0
"278",4,1997-05-15,15,5,1997,"Centropages typicus",0
"279",2,1998-05-01,1,5,1998,"Centropages typicus",0
"280",3,1998-05-01,1,5,1998,"Centropages typicus",0
"281",4,1998-05-01,1,5,1998,"Centropages typicus",0
"282",2,1999-05-07,7,5,1999,"Centropages typicus",0
"283",3,1999-05-07,7,5,1999,"Centropages typicus",0
"284",4,1999-05-07,7,5,1999,"Centropages typicus",0
"285",2,2000-05-25,25,5,2000,"Centropages typicus",0
"286",3,2000-05-25,25,5,2000,"Centropages typicus",0
"287",4,2000-05-25,25,5,2000,"Centropages typicus",8.07346856393178
"288",2,2001-05-28,28,5,2001,"Centropages typicus",0
"289",3,2001-05-28,28,5,2001,"Centropages typicus",0
"290",4,2001-05-28,28,5,2001,"Centropages typicus",1.53933333397472
"291",2,2002-04-22,22,4,2002,"Centropages typicus",0
"292",3,2002-04-22,22,4,2002,"Centropages typicus",0
"293",4,2002-04-22,22,4,2002,"Centropages typicus",29.5779855279142
"294",4,2014-05-21,21,5,2014,"Centropages typicus",4.04040404040404
"295",2,2015-05-27,27,5,2015,"Centropages typicus",0
"296",3,2015-05-27,27,5,2015,"Centropages typicus",0
"297",4,2015-05-27,27,5,2015,"Centropages typicus",0.228310502283105
"298",2,2016-04-29,29,4,2016,"Centropages typicus",0.0613026819923372
"299",3,2016-04-29,29,4,2016,"Centropages typicus",0.727107475573733
"300",4,2016-04-29,29,4,2016,"Centropages typicus",3.0188679245283
"301",2,1997-05-14,14,5,1997,"Centropages spp",0
"302",3,1997-05-14,14,5,1997,"Centropages spp",0
"303",4,1997-05-15,15,5,1997,"Centropages spp",0
"304",2,1998-05-01,1,5,1998,"Centropages spp",0
"305",3,1998-05-01,1,5,1998,"Centropages spp",0
"306",4,1998-05-01,1,5,1998,"Centropages spp",0
"307",2,1999-05-07,7,5,1999,"Centropages spp",0
"308",3,1999-05-07,7,5,1999,"Centropages spp",0
"309",4,1999-05-07,7,5,1999,"Centropages spp",0
"310",2,2000-05-25,25,5,2000,"Centropages spp",0
"311",3,2000-05-25,25,5,2000,"Centropages spp",0
"312",4,2000-05-25,25,5,2000,"Centropages spp",0
"313",2,2001-05-28,28,5,2001,"Centropages spp",0
"314",3,2001-05-28,28,5,2001,"Centropages spp",0
"315",4,2001-05-28,28,5,2001,"Centropages spp",0
"316",2,2002-04-22,22,4,2002,"Centropages spp",0
"317",3,2002-04-22,22,4,2002,"Centropages spp",0
"318",4,2002-04-22,22,4,2002,"Centropages spp",0
"319",4,2014-05-21,21,5,2014,"Centropages spp",92.9292929292929
"320",2,2015-05-27,27,5,2015,"Centropages spp",0.102564102564103
"321",3,2015-05-27,27,5,2015,"Centropages spp",3.15581854043393
"322",4,2015-05-27,27,5,2015,"Centropages spp",32.8767123287671
"323",2,2016-04-29,29,4,2016,"Centropages spp",0
"324",3,2016-04-29,29,4,2016,"Centropages spp",0.727107475573733
"325",4,2016-04-29,29,4,2016,"Centropages spp",0.838574423480084
"326",2,1997-05-14,14,5,1997,"Clausocalanus spp",0
"327",3,1997-05-14,14,5,1997,"Clausocalanus spp",0
"328",4,1997-05-15,15,5,1997,"Clausocalanus spp",0
"329",2,1998-05-01,1,5,1998,"Clausocalanus spp",0
"330",3,1998-05-01,1,5,1998,"Clausocalanus spp",0
"331",4,1998-05-01,1,5,1998,"Clausocalanus spp",19.0577024880889
"332",2,1999-05-07,7,5,1999,"Clausocalanus spp",0
"333",3,1999-05-07,7,5,1999,"Clausocalanus spp",0
"334",4,1999-05-07,7,5,1999,"Clausocalanus spp",0
"335",2,2000-05-25,25,5,2000,"Clausocalanus spp",0
"336",3,2000-05-25,25,5,2000,"Clausocalanus spp",0
"337",4,2000-05-25,25,5,2000,"Clausocalanus spp",0
"338",2,2001-05-28,28,5,2001,"Clausocalanus spp",0
"339",3,2001-05-28,28,5,2001,"Clausocalanus spp",0
